,rating,genre
Skylanders Trap Team,E10+,Action
Sleeping Dogs: Definitive Edition,M,Action Adventure
Slender: The Arrival,T,Adventure
SMITE,T,Strategy
Sniper Elite III,M,Action
So Many Me,E,Puzzle
Solar Shifter EX,E,Action
Song of the Deep,E,Action Adventure
Soul Axiom,T,Adventure
Sparkle 2,E,Puzzle
Sparkle Unleashed,E,Puzzle
Spectra: 8bit Racing,E,Sports
Spy Chameleon,E,Puzzle
Star Trek Online,T,Role-Playing
Star Wars Battlefront,T,Action
Star Wars Battlefront: Outer Rim,T,Action
Stardust Galaxy Warriors: Stellar Climax,E,Action
Starpoint Gemini 2,T,Strategy
Starwhal,E10+,Action
State of Decay: Year One Survival Edition,M,Horror
Stealth Inc 2: A Game of Clones,T,Action
SteamWorld Dig,E10+,Action
Steredenn,E10+,Action
Stick it to the Man!,T,Action
Stikbold! A Dodgeball Adventure,E,Action
Stories of Bethem: Full Moon,,Role-Playing
Stranger of Sword City,T,Role-Playing
Strider,E10+,Action Adventure
Strike Suit Zero: Director's Cut,T,Action
Styx: Master of Shadows,M,Action Adventure
Submerged,E10+,Action Adventure
Sunset Overdrive,M,Action
Sunset Overdrive and the Mystery of the Mooil Rig!,M,Action
Sunset Overdrive: Dawn of the Rise of the Fallen Machines,,Action
Super Mega Baseball: Extra Innings,E,Sports
Super Mutant Alien Assault,T,Action
Super Night Riders,E,Sports
Super Time Force,T,Action
Super Toy Cars,E,Sports
Super Ultra Dead Rising 3' Arcade Remix Hyper Edition EX Plus Alpha,M,Action
SUPERHOT,T,Modern
Sword Coast Legends,T,Role-Playing
Tachyon Project,E,Action
Tales from the Borderlands: A Telltale Game Series,M,Adventure
Tales From The Borderlands: Episode 1 - Zer0 Sum,M,Miscellaneous
Tales From The Borderlands: Episode 2 - Atlas Mugged,M,Adventure
Tales From The Borderlands: Episode 3 - Catch A Ride,M,Adventure
Tales From The Borderlands: Episode 4 - Escape Plan Bravo,M,Adventure
Tales From The Borderlands: Episode 5 - The Vault of the Traveler,M,Adventure
Teenage Mutant Ninja Turtles: Mutants in Manhattan,T,Action
Tembo the Badass Elephant,E10+,Action Adventure
Terraria,T,Action
Teslagrad,E,Action
Teslapunk,E,Action
Tetris Ultimate,E,Miscellaneous
Tetrobot and Co.,E,Puzzle
The Amazing Spider-Man 2,T,Action
The Banner Saga,T,Role-Playing
The Banner Saga 2,T,Strategy
The Binding of Isaac: Rebirth,M,Action
The Book of Unwritten Tales 2,T,Adventure
The Bridge,E,Puzzle
The Bunker,T,Adventure
The Crew,T,Sports
The Crew: Wild Run,T,Sports
The Crew: Wild Run Edition,T,Sports
The Deer God,T,Action
The Elder Scrolls Online: Tamriel Unlimited,M,First-Person
The Elder Scrolls Online: Tamriel Unlimited - Orsinium,M,Role-Playing
The Elder Scrolls Online: Tamriel Unlimited - The Imperial City,M,Role-Playing
The Elder Scrolls V: Skyrim Special Edition,M,Role-Playing
The Escapists,T,Action
The Escapists: The Walking Dead,T,Action
The Evil Within,M,Action Adventure
The Evil Within: The Assignment,M,Action Adventure
The Evil Within: The Consequence,,Action Adventure
The Evil Within: The Executioner,,Action Adventure
The Fall,T,Action Adventure
The Final Station,M,Action Adventure
The Flame in the Flood,T,Action Adventure
The Golf Club,E,Traditional
The Incredible Adventures of Van Helsing,T,Role-Playing
The Incredible Adventures of Van Helsing II,T,Role-Playing
The Jackbox Party Pack,T,Miscellaneous
The Jackbox Party Pack 2,T,Miscellaneous
The Legend of Korra,T,Action Adventure
The LEGO Movie Videogame,E10+,Action Adventure
The Living Dungeon,T,Miscellaneous
The Magic Circle: Gold Edition,M,Adventure
The Park,M,Action Adventure
The Peanuts Movie: Snoopy's Grand Adventure,E,Action
The Pinball Arcade,E10+,Action
The Solus Project,T,Action
The Swapper,E10+,Action
The Technomancer,M,Role-Playing
The Turing Test,T,Action
The Walking Dead: A Telltale Games Series - The Complete First Season,M,Miscellaneous
The Walking Dead: Michonne - Episode 1: In Too Deep,M,Adventure
The Walking Dead: Michonne - Episode 2: Give No Shelter,M,Adventure
The Walking Dead: Michonne - Episode 3: What We Deserve,M,Adventure
The Walking Dead: Season Two - A Telltale Games Series,M,Action
The Witcher 3: Wild Hunt,M,Role-Playing
The Witcher 3: Wild Hunt - Blood and Wine,M,Role-Playing
The Witcher 3: Wild Hunt - Hearts of Stone,M,Role-Playing
The Witness,E,Adventure
The Wolf Among Us,M,Action Adventure
Thief,M,Action Adventure
This War of Mine: The Little Ones,M,Strategy
Thomas Was Alone,E,Action
Three Fourths Home: Extended Edition,M,Adventure
Threes!,E,Miscellaneous
Tiny Troopers: Joint Ops,T,Action
Titanfall,M,Action
Titanfall 2,M,Action
Titanfall: Expedition,M,Action
Titanfall: Frontier's Edge,,Action
Ultratron,E,Action
Unepic,T,Action
Unmechanical: Extended Edition,E,Action
Uno,E,Miscellaneous
Unravel,E,Action
Valentino Rossi The Game,E,Sports
Valiant Hearts: The Great War,T,Action
Valley,T,Action Adventure
Velocity 2X,E10+,Action
Virginia,M,Adventure
Volgarr the Viking,T,Action
Warframe,M,Action
Warhammer: End Times - Vermintide,M,Action
Warriors Orochi 3 Ultimate,T,Action
Wasteland 2: Director's Cut,M,Role-Playing
Watch Dogs,M,Action Adventure
Watch Dogs: Bad Blood,M,Action Adventure
WE ARE DOOMED,E,Action
Whispering Willows,T,Adventure
White Night,M,Action
Wolfenstein: The New Order,M,Action
Wolfenstein: The Old Blood,,Action
Wondershot,E10+,Action
World of Tanks,T,Action
Worms Battlegrounds,E10+,Strategy
Worms W.M.D,E10+,Strategy
WRC 5,E,Sports
WRC 6: FIA World Rally Championship,E,Sports
WWE 2K15,T,Action
WWE 2K16,T,Action
WWE 2K17,T,Sports
Xbox Fitness,E,Miscellaneous
100ft Robot Golf,E10+,Sports
140,E,Action
Abyss Odyssey: Extended Dream Edition,T,Action Adventure
ABZU,E,Fantasy
Ace Banana,E,Action
ADR1FT,T,Action
Adventures of Pip,E10+,Action
Aegis of Earth: Protonovus Assault,T,Strategy
Afro Samurai 2: Revenge of Kuma Volume One,M,Action
Air Conflicts: Pacific Carriers,T,Simulation
Air Conflicts: Vietnam Ultimate Edition,T,Action
Akiba's Trip: Undead & Undressed,M,Action Adventure
Alienation,M,Sci-Fi
Alone With You,T,Adventure
Amazing Discoveries In Outer Space,E,Action
Amplitude,E,Miscellaneous
Anomaly 2,T,Strategy
Apotheon,T,Action
Aqua Kitty: Milk Mine Defender DX,E10+,Action
Aragami,M,Action Adventure
Arc the Lad: Twilight of the Spirits,T,Strategy
Back to Bed,E10+,Action
Backgammon Blitz,E,Miscellaneous
Basement Crawl,T,Action
Bastion,E10+,Role-Playing
Batman: Arkham VR,M,Action
Battle Trivia Knockout,E,Miscellaneous
Battlezone,T,Action
Beyond: Two Souls,M,Adventure
Binaries,E,Action
Blacklight: Retribution,T,Action
BlazeRush,E10+,Sports
Bloodborne,M,Fantasy
Bloodborne: The Old Hunters,M,Role-Playing
Boggle,E,Miscellaneous
Bounce Rescue!,E10+,Action
Bound,E10+,Action
Bound by Flame,M,Role-Playing
BRAWL,M,Action
BROFORCE,M,Action
Broken Age,E10+,Third-Person
Brut@l,T,Action Adventure
Bully,T,Action Adventure
Cabela's African Adventures,T,Sports
Call of Duty: Black Ops III - Awakening,,Action
Call of Duty: Black Ops III - Descent,M,Action
Call of Duty: Black Ops III - Eclipse,,Action
Call of Duty: Black Ops III - Salvation,,Action
Calvino Noir,T,Action Adventure
Capsule Force,T,Action
Catlateral Damage,E,Action
Chambara,E10+,Action
Chronicles of Teddy: Harmony of Exidus,E,Role-Playing
Citizens of Earth,E10+,Role-Playing
Color Guardians,E,Action
Commander Cherry's Puzzled Journey,E,Puzzle
CounterSpy,T,Action
Croixleur Sigma,E10+,Action
Crypt of the NecroDancer,T,Role-Playing
Curses 'N Chaos,E10+,Action
Dariusburst: Chronicle Saviours,E,Action
Dark Cloud,T,Role-Playing
Dark Cloud 2,T,Role-Playing
Darkest Dungeon,T,Role-Playing
Day of the Tentacle Remastered,T,Adventure
Daydreamer: Awakened Edition,T,Action
Daylight,M,Action Adventure
Dead Island: Retro Revenge,M,Action
Dead Nation: Apocalypse Edition,M,Action
Dead or Alive Xtreme 3: Fortune,,Sports
Dead Rising 2,M,Action Adventure
Dead Star,E,Action
Dead Synchronicity: Tomorrow Comes Today,M,Adventure
Dear Esther: Landmark Edition,T,Adventure
