title,platform,genre,metascore,userscore,rating,developer
Dead Rising 3: Apocalypse Edition,Xbox One,Action,No score yet,6.3,M,Capcom Vancouver
Dead Rising 3: Chaos Rising,Xbox One,Action,50,3.8,M,Capcom Vancouver
Dead Rising 3: Fallen Angel,Xbox One,Action,56,4.6,M,Capcom Vancouver
Dead Rising 3: Operation Broken Eagle,Xbox One,Action,52,4.2,M,
Dead Rising 3: The Last Agent,Xbox One,Action,51,4.0,M,Capcom Vancouver
Dead Rising 4,Xbox One,Action Adventure,No score yet,,M,Capcom
Dead Rising Triple Pack,Xbox One,Action Adventure,72,tbd,,Capcom
Dead Synchronicity: Tomorrow Comes Today,Xbox One,Adventure,No score yet,tbd,,Fictiorama Studios
Deadlight: Director's Cut,Xbox One,Action,69,7.3,M,Tequila Works
Deadpool,Xbox One,Action,No score yet,6.1,M,High Moon Studios
Dear Esther,Xbox One,Adventure,66,7.3,T,The Chinese Room
Death God University,Xbox One,Adventure,No score yet,tbd,,DSK Green Ice Games
Destiny,Xbox One,Action,75,5.5,T,Bungie Software
Destiny: House of Wolves,Xbox One,Action,71,4.0,T,Bungie
Destiny: Rise of Iron,Xbox One,Action,72,3.2,,Bungie
Destiny: The Collection,Xbox One,Action,No score yet,tbd,T,Bungie
Destiny: The Dark Below,Xbox One,Action,59,2.9,T,Bungie
Destiny: The Taken King,Xbox One,Action,89,5.2,T,Bungie Software
Destiny: The Taken King - Legendary Edition,Xbox One,Action,No score yet,5.6,T,Activision
Deus Ex: Mankind Divided,Xbox One,Action Adventure,83,7.1,M,Eidos Montreal
Deus Ex: Mankind Divided - System Rift,Xbox One,Action Adventure,No score yet,tbd,,Eidos Montreal
Devil May Cry 4: Special Edition,Xbox One,Fantasy,76,8.3,M,Capcom
Dex (Enhanced Version),Xbox One,Role-Playing,69,9.0,M,Dreadlocks Ltd
DG2: Defense Grid 2,Xbox One,Strategy,78,7.0,E10+,Hidden Path Entertainment
Diablo III: Ultimate Evil Edition,Xbox One,Role-Playing,86,7.8,M,Blizzard Entertainment
DiRT Rally,Xbox One,Racing,86,8.2,E,Codemasters
Dishonored 2,Xbox One,Action Adventure,No score yet,,M,Arkane Studios
Dishonored: Definitive Edition,Xbox One,Action Adventure,76,7.1,M,Arkane Studios
Disney Infinity 2.0 Edition,Xbox One,Action Adventure,73,5.2,E10+,Avalanche Software
Disney Infinity 3.0 Edition,Xbox One,Action Adventure,78,5.2,E10+,Avalanche Software
Disney Infinity: Marvel Super Heroes - Guardians of the Galaxy Playset,Xbox One,Action Adventure,No score yet,tbd,,Avalanche Software
Disney Infinity: Marvel Super Heroes - Ultimate Spider Man Playset,Xbox One,Action Adventure,No score yet,tbd,,Avalanche Software
Divekick: Addition Edition +,Xbox One,Action,No score yet,tbd,T,One True Game Studios
Divinity: Original Sin Enhanced Edition,Xbox One,Role-Playing,88,7.4,M,Larian Studios
DmC: Devil May Cry Definitive Edition,Xbox One,Fantasy,86,7.6,M,Ninja Theory
Dogos,Xbox One,Action,63,tbd,E10+,INTERNET URL S.A.
Don Bradman Cricket,Xbox One,Sports,No score yet,6.6,E,Big Ant Studios
Don't Starve: Giant Edition,Xbox One,Action Adventure,No score yet,tbd,T,Klei Entertainment
Don't Starve: Shipwrecked,Xbox One,Action Adventure,No score yet,tbd,,Klei Entertainment
DOOM,Xbox One,Sci-Fi,87,8.1,M,id Software
DOOM: Unto The Evil,Xbox One,Action,No score yet,tbd,,id Software
Dovetail Games Euro Fishing,Xbox One,Sports,No score yet,7.4,,Dovetail Games
Dragon Age: Inquisition,Xbox One,Role-Playing,85,7.0,M,BioWare
Dragon Age: Inquisition - Game of the Year Edition,Xbox One,Role-Playing,No score yet,8.1,,BioWare
Dragon Age: Inquisition - Jaws Of Hakkon,Xbox One,Role-Playing,70,5.8,,BioWare
Dragon Age: Inquisition - The Descent,Xbox One,Role-Playing,No score yet,5.4,,BioWare
Dragon Age: Inquisition - Trespasser,Xbox One,Role-Playing,No score yet,7.4,,BioWare
Dragon Ball: Xenoverse,Xbox One,Action,67,7.2,T,Dimps Corporation
Dragon Ball: Xenoverse 2,Xbox One,Action,No score yet,8.0,T,Dimps Corporation
Draw a Stickman: EPIC,Xbox One,Adventure,No score yet,6.0,E10+,Hitcents
Draw a Stickman: EPIC and Friend's Journey,Xbox One,Adventure,No score yet,tbd,,Hitcents
Drawful 2,Xbox One,Miscellaneous,75,tbd,T,Jackbox Games
Dreamals: Dream Quest,Xbox One,Puzzle,No score yet,tbd,E,Xiness
DUCATI: 90th Anniversary,Xbox One,Racing,No score yet,tbd,E,Milestone S.r.l
Duck Dynasty,Xbox One,Sports,No score yet,3.5,T,FUN Labs
Duke Nukem 3D: 20th Anniversary World Tour,Xbox One,Action,No score yet,tbd,M,Gearbox Software
Dungeon of the Endless,Xbox One,Strategy,78,6.2,T,Amplitude Studios
Dungeon Punks,Xbox One,Action,71,8.5,E10+,Hyper Awesome Entertainment
Dying Light,Xbox One,Action Adventure,74,7.8,M,Techland
Dying Light: The Bozak Horde,Xbox One,Action Adventure,No score yet,tbd,M,Techland
Dying Light: The Following,Xbox One,Action Adventure,86,8.0,,Techland
Dying Light: The Following - Enhanced Edition,Xbox One,Action Adventure,No score yet,7.9,M,Techland
Dynamite Fishing: World Games,Xbox One,Action,No score yet,tbd,E10+,www.handy-games.com
Dynasty Warriors 8 Empires,Xbox One,Action,58,6.6,T,Koei Tecmo Games
EA Sports UFC,Xbox One,Other Sports Games,70,6.3,T,EA Sports
EA Sports UFC 2,Xbox One,Sports,76,6.0,T,EA Sports
Earth's Dawn,Xbox One,Action,No score yet,,T,One or Eight
Earthlock: Festival of Magic,Xbox One,Role-Playing,66,7.7,E10+,Snow Castle Games
Electronic Super Joy,Xbox One,Action,77,tbd,M,Michael Todd Games
Electronic Super Joy: Hot Sticky Mess,Xbox One,Action,No score yet,tbd,M,Michael Todd Games
Elite Dangerous: Horizons,Xbox One,Simulation,75,6.4,T,Frontier Developments
Elite: Dangerous,Xbox One,Simulation,80,7.2,T,Frontier Developments
Elite: Dangerous - Arena,Xbox One,Simulation,No score yet,tbd,T,Frontier Developments
Elite: Dangerous - Commander: Deluxe Edition,Xbox One,Miscellaneous,No score yet,tbd,,Frontier Developments
Elite: Dangerous - Standard Edition,Xbox One,Simulation,No score yet,tbd,,Frontier Developments
Emily Wants To Play,Xbox One,Adventure,No score yet,tbd,T,SKH Apps
Enigmatis: The Ghosts of Maple Creek,Xbox One,Puzzle,66,7.4,T,Artifex Mundi
Ethan: Meteor Hunter,Xbox One,Action,44,tbd,E10+,Seaven Studio
Eventide: Slavic Fable,Xbox One,Adventure,73,tbd,T,The House Of Fables
EVERSPACE,Xbox One,Action,No score yet,tbd,T,ROCKFISH Games
Evolve,Xbox One,Action,74,5.1,M,Turtle Rock Studios
Evolve: The Hunt Evolves,Xbox One,Action,No score yet,tbd,M,Turtle Rock Studios
Evolve: Ultimate Edition,Xbox One,Action,No score yet,6.8,M,Turtle Rock Studios
Exile's End,Xbox One,Action,No score yet,tbd,,MagneticRealms
Extreme Exorcism,Xbox One,Action,64,tbd,E10+,Golden Ruby Games
F1 2015,Xbox One,Racing,64,5.3,E,Codemasters
F1 2016,Xbox One,Racing,85,7.7,E,Codemasters
Factotum 90,Xbox One,Puzzle,71,5.9,E,TACS Games
Fallout 4,Xbox One,General,88,6.2,M,Bethesda Game Studios
Fallout 4: Automatron,Xbox One,Role-Playing,74,5.7,M,Bethesda Game Studios
Fallout 4: Contraptions Workshop,Xbox One,Role-Playing,No score yet,3.3,,Bethesda Game Studios
Fallout 4: Far Harbor,Xbox One,Role-Playing,78,6.3,M,Bethesda Game Studios
Fallout 4: Nuka-World,Xbox One,Role-Playing,75,6.0,,Bethesda Game Studios
Fallout 4: Vault-Tec Workshop,Xbox One,Role-Playing,No score yet,2.7,,Bethesda Game Studios
Fallout 4: Wasteland Workshop,Xbox One,Role-Playing,59,2.2,M,Bethesda Game Studios
Fantasia: Music Evolved,Xbox One,Rhythm Games,77,7.5,E10+,Harmonix Music Systems
Far Cry 4,Xbox One,Action,82,7.5,M,Ubisoft Montreal
Far Cry 4: Escape from Durgesh Prison,Xbox One,Action,No score yet,tbd,M,Ubisoft Montreal
Far Cry 4: Valley of the Yetis,Xbox One,Action,76,7.6,M,Ubisoft Montreal
Far Cry Primal,Xbox One,Action,77,6.3,M,Ubisoft Montreal
